Tweet                                                       Match                                                       Polarity       
WEATHER ALERT DANDRUFF WARNING FOR A JAR OF METAMU          [warning]                                                   NEGATIVE       
RT RachelNotley The pandemic isnt over We must get          [vigilant]                                                  POSITIVE       
weatherab Sending thoughts and prayers Hope you fe          [better]                                                    POSITIVE       
RT mansdnh Reminder The ChooseLoveNH bus tour come          [good]                                                      POSITIVE       
I just wanna say bless you to the rainy UK gods fo          [bless]                                                     POSITIVE       
i swear everytime i do that sweater weather diet i          [lose]                                                      NEGATIVE       
ricandess Bitch this weather worse then these nigg          [bitch, worse]                                              NEGATIVE       
Its shocking I tell ya Shocking what potholes and           [well, shocking, smooth, damaged]                           NEGATIVE       
emilybdepalma Idk about you but personally the wea          [strong, depression, worse, helping]                        NEUTRAL        
Such a joy to teach how to build trust as a leader          [trust, wonderful, perfect, joy, leading]                   POSITIVE       
Theres now a weather advisory for heavy rain amp t          [bad]                                                       NEGATIVE       
This 90 degree weather is disrespectful to say the          [disrespectful]                                             NEGATIVE       
I really was not ready for this weather change              [ready]                                                     POSITIVE       
Regina SK Weather Temp89C Dew135C Pressure102530hP          []                                                          NEUTRAL        
RT KCEquityNow COMMUNITY We need your help Marcus           []                                                          NEUTRAL        
Tree So Deadly Just Standing Beneath It Is Dangero          [deadly, dangerous]                                         NEGATIVE       
RT colinphoenix Due to the miserable weather I tho          [classic, genuine, cheer, miserable]                        POSITIVE       
Regina SK Weather Temp89C Dew135C Pressure102530hP          []                                                          NEUTRAL        
Winnipeg Weather Getting Real Winnipeg snow Manito          []                                                          NEUTRAL        
JJCarafano They say climate because most people do          [clear]                                                     POSITIVE       
RT SHEINofficial Sweater weather is here Shop nowg          []                                                          NEUTRAL        
Good morning from northern end Central Coast NSW A          [like, good, weird]                                         POSITIVE       
RT noonvincent Weather Report                               []                                                          NEUTRAL        
RT rashidalmethen                                           []                                                          NEUTRAL        
202111141120WEEKLY WEATHER amp DIVE GIRL                    []                                                          NEUTRAL        
petefrasermusic Umbrellas are shite An utterly uns          [unsatisfactory, utterly, failed, bad, improve]             NEGATIVE       
ktstv                                                       []                                                          NEUTRAL        
hange of weather is the disco MZ66 SS35 SAR11 NAM1          []                                                          NEUTRAL        
RT moondr0p Miserable weather animal crossing               [miserable]                                                 NEGATIVE       
RT StormTrack9Dave Freeze Watch for Sunday Morning          [freeze]                                                    NEGATIVE       
Time 1031PM Temp 116C WC 94C Hum 96 Winds ENE 130           [hum]                                                       NEGATIVE       
RT stluciaweather TROPICAL WEATHER OUTLOOK The Atl          []                                                          NEUTRAL        
bf has decided we are getting rid of the Alexas in          [bitch, dumb]                                               NEGATIVE       
The Apopka Fall Family Festival is underway and we          [fall, well, great]                                         POSITIVE       
After a busy Friday we clear out for the rest of t          [clear]                                                     POSITIVE       
weather subscribe instagram cop26 song tiktok gogr          [treasure]                                                  POSITIVE       
RT fcstpauliEN Bundle up appropriately for the col          [cold]                                                      NEGATIVE       
RT groovyliz Its DOPEITSDOM weather in November             []                                                          NEUTRAL        
roneisele It did kill a rabbit and help to make th          [kill, well]                                                NEUTRAL        
MuseumShuffle Which kind of weather                         []                                                          NEUTRAL        
Beautiful Friday weather calls for an early exist           [beautiful, work]                                           POSITIVE       
EmilyRussellADK ncpr Well our favorite camp radio           [well, favorite]                                            POSITIVE       
RT ashleystorrie Getting ready to go into work for          [ready, work]                                               POSITIVE       
Happy Friyay Colorado Perfect Fall weather this we          [perfect, fall, happy]                                      POSITIVE       
Im sick of this weather out here Monday shit aint           [die, sick, shit]                                           NEGATIVE       
RT tonygoodfellow The weather might be getting col          [lucky, hot, cold]                                          POSITIVE       
London Weather as of 1030 PM 5256 F                         []                                                          NEUTRAL        
RT NBCOlympics As Team USA athletes gear up for th          []                                                          NEUTRAL        
Its a chilly evening Temperatures hover in the mid          [spotty, chilly]                                            NEGATIVE       
Yo why THE FUCK is the weather in its 80s son the           [fuck]                                                      NEGATIVE       
hange of weather is the disco MH138 R82 CTZ7563 AA          []                                                          NEUTRAL        
RT dnrtyfn Sweater Weather Fortnite Montage are ap          []                                                          NEUTRAL        
I love this The BBC news theme played by Owain and          [love, support]                                             POSITIVE       
Sweater weather Sorry I meant sweater weather               [sorry]                                                     NEGATIVE       
Artemishowl FL has the CA weather atm and Im enjoy          [enjoying]                                                  POSITIVE       
RT QueasyFN 1st Grand Royale Load Session Catty we          [grand]                                                     POSITIVE       
Happy Friday evening we hope you all enjoyed this           [proper, cold, break, enjoyed, happy]                       POSITIVE       
Hammock hangs in the great outdoors are a must Gra          [fall, cozy, great, hangs, crisp]                           POSITIVE       
iminfectious Were expecting cold weather this week          [grateful, beautiful, wonderful, cold]                      POSITIVE       
Kia ora This tweet was written by carol let me sho          [love, fine]                                                POSITIVE       
EmrysOmega we have a rainy season or at least were          [cloud, hate, sick, nice]                                   NEGATIVE       
some time ago I had a dream about a picnic it was           [like, cute, nice]                                          POSITIVE        
Under a clear sky with light winds tonight is goin          [clear]                                                     POSITIVE       
jaxbra kategabrielle Its 94 here in Long Beach tod          [tops, fall, tank, like]                                    NEUTRAL        
RT KCEquityNow COMMUNITY We need your help Marcus           []                                                          NEUTRAL        
Telegraph Why are children forced indoors with col          [cold]                                                      NEGATIVE       
RT SpaceX Standing down from todays launch due to           [improves, favorable]                                       POSITIVE       
RT lettershoppe The weather outside is frightful b          [delightful, frightful]                                     NEUTRAL        
RT UNDmhockey Aiming for a 30 start in league play          []                                                          NEUTRAL        
Red Wings de Detroit Russir pas juste survivre              []                                                          NEUTRAL        
frankseravalli JohnTortorella2 Torts knows hockey           [win]                                                       POSITIVE       
bro woke up to a nice bowl of beans and a hockey p          [nice]                                                      POSITIVE       
RT EnglishMathPhD There are no fans of hockey the           [hell, fans]                                                NEUTRAL        
4WhomJBellTolls March Free agency spring training           [free, madness]                                             NEUTRAL        
RT barstoolsports Pond hockey heaven spittinchicle          [heaven]                                                    POSITIVE       
RT joewarmington Would you like to see Don Cherry           [like]                                                      POSITIVE       
ragingsilkworm Game management is a critical part           [critical]                                                  NEGATIVE       
Archaeologuy 97 can flex a bit more Speak openly a          [openly, like, win, awards, frustration, fuck]              POSITIVE       
Match 1 de la U SPORTS Field Hockey Championship c          []                                                          NEUTRAL        
I just want my flowers and the homageyall niggas d          []                                                          NEUTRAL        
Merrymodzio TomBilyeu JossMonzoni herrerabox lisab          []                                                          NEUTRAL        
RT EliteFantasyHQ The Core 4 Livestream with Kyle           [break]                                                     NEGATIVE       
There are no fans of hockey the sport Arthur what           [hell, fans]                                                NEUTRAL        
IIHFHockey Cute things can be found anywhere even           [cute]                                                      POSITIVE       
The Core 4 Livestream with Kyle Elfrink is now liv          [break]                                                     NEGATIVE       
Canuckgirl20 Lol thats hockey hurt to a whole new           [hurt]                                                      NEGATIVE       
DiegoPRBarros oilers49er Except Kassian Hes the on          [best]                                                      POSITIVE       
Good luck to our Senior Girls Field Hockey Team in          [good, luck]                                                POSITIVE       
RT ESPNPlus A generational talent A generational g          [talent]                                                    POSITIVE       
RT HackswithHaggs Emotional night at the Garden la          [cave]                                                      NEGATIVE       
Ill just get a job at the University of Michigan b          []                                                          NEUTRAL        
le met mucho hockey esta semana en cualquier momen          []                                                          NEUTRAL        
RT aiaahelnagar Hockey A skate                              []                                                          NEUTRAL        
torontobaghead hockeynight I do find this hilariou          [rant, hilarious, fans, ignorant]                           NEUTRAL        
troychewning emoney3113 I understand plenty to kno          [better, immature, like, unreliable]                        NEUTRAL        
RT coutufrancis hyaruxw BarrieSharks RonMacLeanHTH          [well]                                                      POSITIVE       
Hockey game on your day off is more important than          [important]                                                 POSITIVE       
RT TheNamibian Saints beat DTS 50 in a Bank Windho          [premier]                                                   POSITIVE       
RT dunvsports D2 Hockey Gameday DU riding a 3game           [win]                                                       POSITIVE       
RT joewarmington Would you like to see Don Cherry           [like]                                                      POSITIVE       
JC2594 My friend whos a big soccer guy at his firs          [like, work, baffled]                                       POSITIVE       
RT andreasthuresso Tror att det r lge fr SSK att k          []                                                          NEUTRAL        
Kirsty7169 Good plan its hockey Sunday too isnt it          [better, good]                                              POSITIVE       
There is nothing wrong with gambling if you can ac          [fun, interesting, wrong]                                   POSITIVE       
RT ValleyBoosters Field Hockey All Region 1st Team          []                                                          NEUTRAL        
PaulFigler Its in his best interest fir the draft           [like, best]                                                POSITIVE       
At the growlers game with sandramarygosse The last          [missed]                                                    NEGATIVE       
CatyLouis Richardlabbe Peuttre Tout ce que je sais          [tout]                                                      NEGATIVE       
StapeAthletic You are whats wrong with hockey Let           [wrong]                                                     NEGATIVE       
RT cookieeem0nster Im missing the gay hockey game           []                                                          NEUTRAL        
TheInstigator76 Its a little weird that people kee          [great, weird, complaining]                                 NEGATIVE       
RT TrineAthletics Mens Hockey home opener is tonig          []                                                          NEUTRAL        
Game 1 of the U SPORTS Field Hockey Championship b          []                                                          NEUTRAL        
Leedsknights GoPhantoms That was awesome for my fi          [awesome, win]                                              POSITIVE       
2019 Adam Werner 40 saves on 40 shots replaces inj          [avalanche, victory]                                        NEUTRAL        
Kawooya Michael Raymond at the Birmingham 2022 Com          [squash]                                                    NEGATIVE       
LeafsForever Flames MultiPoint Player Props Over 1          []                                                          NEUTRAL        
RT gripitandrippit NHL hockey theres nothing like           [like]                                                      POSITIVE       
TheInstigator76 Its better than Center Ice ever wa          [better, great, frustration]                                POSITIVE       
RT barstoolsports Pond hockey heaven spittinchicle          [heaven]                                                    POSITIVE       
RT LightningMade Were proud to be a part of NHL As          [support, proud]                                            POSITIVE       
StapeAthletic I want them to call the rules Im not          [heck, ridiculous]                                          NEGATIVE       
a lot of Hockey around the Flyers organization ton          [trick]                                                     NEGATIVE       
RT DrJaneALee Congrats to our Girls Field Hockey t          [fabulous]                                                  POSITIVE       
RT gilliankemmerer Hockey Family LGRW legend Vladd          [support]                                                   POSITIVE       
RT queuebae im now convinced that the real reason           []                                                          NEUTRAL        
DeputyHockey officerdaddo                                   []                                                          NEUTRAL        
RT GeneseoKnights MHKY No 1 GeneseoHockey vs Platt          []                                                          NEUTRAL        
RT HackswithHaggs Emotional night at the Garden la          [cave]                                                      NEGATIVE       
just in time for 2 beer night at the hockey game t          []                                                          NEUTRAL        
RT rmc28 zeynep Timely example from the UK my hock          [timely, negative, positive]                                POSITIVE       
RT lewisdaveTHF The WCHA Development Team is looki          []                                                          NEUTRAL        
canucker101 Canucks Lots of hockey left                     []                                                          NEUTRAL        
StatBoySteven I could see how thats a little suspi          [cancer, uncomfortable, suspicious]                         NEGATIVE       
The WCHA Development Team is looking forward to pa          []                                                          NEUTRAL        
RT BrownWHockey GAMEDAY Dartmouth 6pm Meehan Audit          []                                                          NEUTRAL        
Oley Valley Twin Valley Fleetwood and Wilson play           []                                                          NEUTRAL        
KariyaNorth almenjohn domluszczyszyn Jack Edwards           [biased, embarrassing]                                      NEGATIVE       
RT barstoolsports Pond hockey heaven spittinchicle          [heaven]                                                    POSITIVE       
torontobaghead hockeynight Are you saying real hoc          [racists, fans, ignorant]                                   NEGATIVE       
RT barstoolsports Pond hockey heaven spittinchicle          [heaven]                                                    POSITIVE       
Hockey urucureoficial recibir este sbado a San Mar          []                                                          NEUTRAL        
RT MichaelEMann Sorry climate deniers Fact CheckHo          [accurate, sorry]                                           NEUTRAL        
RT IceOffs 60 seconds of Hockey hits just because           [great]                                                     POSITIVE       
RT barstoolsports Pond hockey heaven spittinchicle          [heaven]                                                    POSITIVE       
islesfan777 I fight enough with people over hockey          [enough]                                                    POSITIVE       
Im enjoying Foundation the same way I enjoy watchi          [enjoy, enjoying, good]                                     POSITIVE       
StapeAthletic Personally I want them to call the r          [loose, capable, fast, exciting]                            POSITIVE       
Michigan field hockey scores twice in final 61 sec          []                                                          NEUTRAL        
Jack Eichel undergoes successful surgery                    [successful]                                                POSITIVE       
Listen we all have our fandom But I will put on a           [worst]                                                     NEGATIVE       
RT HabsLaughs Good morning to Tyler Toffoli who wi          [good]                                                      POSITIVE       
RT TSNHockey Watch as the 2020 Hockey Hall of Fame          [fame]                                                      POSITIVE       
RT PeoriaMustangs Back in Wiscansin Hi TPAIN pwrpl          []                                                          NEUTRAL        
RT JulieSLalonde A lot of conversation lately abou          []                                                          NEUTRAL        
RT ruthparticipa Esta tarde he visitado la Sportec          []                                                          NEUTRAL        
RT barstoolsports Pond hockey heaven spittinchicle          [heaven]                                                    POSITIVE       
RT ESPNPlus A generational talent A generational g          [talent]                                                    POSITIVE       
CanArm2011 And NEVER admit they can spread it just          [super]                                                     POSITIVE       
RT LakersIceHockey Congrats to Laker great Kevin S          [fame, great]                                               POSITIVE       
RT bobano Here is the podcast version of The Ice G          []                                                          NEUTRAL        
RT barstoolsports Pond hockey heaven spittinchicle          [heaven]                                                    POSITIVE       
troychewning druthjr91 emoney3113 SamanthaJPell Th          [hate]                                                      NEGATIVE       
RT Bckt106Art My rock My love Yes she watches Hock          [love, win, fun]                                            POSITIVE       
RT gripitandrippit NHL hockey theres nothing like           [like]                                                      POSITIVE       
RT ESPNPlus A generational talent A generational g          [talent]                                                    POSITIVE       
RT anarvirji The podcast I cohost with my bestie M          []                                                          NEUTRAL        
RT UNDmhockey Aiming for a 30 start in league play          []                                                          NEUTRAL        
Red Wings de Detroit Russir pas juste survivre              []                                                          NEUTRAL        
frankseravalli JohnTortorella2 Torts knows hockey           [win]                                                       POSITIVE       
bro woke up to a nice bowl of beans and a hockey p          [nice]                                                      POSITIVE       
RT EnglishMathPhD There are no fans of hockey the           [hell, fans]                                                NEUTRAL        
4WhomJBellTolls March Free agency spring training           [free, madness]                                             NEUTRAL        
RT barstoolsports Pond hockey heaven spittinchicle          [heaven]                                                    POSITIVE       
RT joewarmington Would you like to see Don Cherry           [like]                                                      POSITIVE       
ragingsilkworm Game management is a critical part           [critical]                                                  NEGATIVE       
Archaeologuy 97 can flex a bit more Speak openly a          [openly, like, win, awards, frustration, fuck]              POSITIVE       
Match 1 de la U SPORTS Field Hockey Championship c          []                                                          NEUTRAL        
I just want my flowers and the homageyall niggas d          []                                                          NEUTRAL        
Merrymodzio TomBilyeu JossMonzoni herrerabox lisab          []                                                          NEUTRAL        
RT EliteFantasyHQ The Core 4 Livestream with Kyle           [break]                                                     NEGATIVE       
There are no fans of hockey the sport Arthur what           [hell, fans]                                                NEUTRAL        
IIHFHockey Cute things can be found anywhere even           [cute]                                                      POSITIVE       
The Core 4 Livestream with Kyle Elfrink is now liv          [break]                                                     NEGATIVE       
Canuckgirl20 Lol thats hockey hurt to a whole new           [hurt]                                                      NEGATIVE       
DiegoPRBarros oilers49er Except Kassian Hes the on          [best]                                                      POSITIVE       
Good luck to our Senior Girls Field Hockey Team in          [good, luck]                                                POSITIVE       
RT ESPNPlus A generational talent A generational g          [talent]                                                    POSITIVE       
RT HackswithHaggs Emotional night at the Garden la          [cave]                                                      NEGATIVE       
Ill just get a job at the University of Michigan b          []                                                          NEUTRAL        
le met mucho hockey esta semana en cualquier momen          []                                                          NEUTRAL        
RT aiaahelnagar Hockey A skate                              []                                                          NEUTRAL        
torontobaghead hockeynight I do find this hilariou          [rant, hilarious, fans, ignorant]                           NEUTRAL        
troychewning emoney3113 I understand plenty to kno          [better, immature, like, unreliable]                        NEUTRAL        
RT coutufrancis hyaruxw BarrieSharks RonMacLeanHTH          [well]                                                      POSITIVE       
Hockey game on your day off is more important than          [important]                                                 POSITIVE       
RT TheNamibian Saints beat DTS 50 in a Bank Windho          [premier]                                                   POSITIVE       
RT dunvsports D2 Hockey Gameday DU riding a 3game           [win]                                                       POSITIVE       
RT joewarmington Would you like to see Don Cherry           [like]                                                      POSITIVE       
JC2594 My friend whos a big soccer guy at his firs          [like, work, baffled]                                       POSITIVE       
RT andreasthuresso Tror att det r lge fr SSK att k          []                                                          NEUTRAL        
Kirsty7169 Good plan its hockey Sunday too isnt it          [better, good]                                              POSITIVE       
There is nothing wrong with gambling if you can ac          [fun, interesting, wrong]                                   POSITIVE       
RT ValleyBoosters Field Hockey All Region 1st Team          []                                                          NEUTRAL        
PaulFigler Its in his best interest fir the draft           [like, best]                                                POSITIVE       
At the growlers game with sandramarygosse The last          [missed]                                                    NEGATIVE       
CatyLouis Richardlabbe Peuttre Tout ce que je sais          [tout]                                                      NEGATIVE       
StapeAthletic You are whats wrong with hockey Let           [wrong]                                                     NEGATIVE       
RT cookieeem0nster Im missing the gay hockey game           []                                                          NEUTRAL        
TheInstigator76 Its a little weird that people kee          [great, weird, complaining]                                 NEGATIVE       
RT TrineAthletics Mens Hockey home opener is tonig          []                                                          NEUTRAL        
Game 1 of the U SPORTS Field Hockey Championship b          []                                                          NEUTRAL        
Leedsknights GoPhantoms That was awesome for my fi          [awesome, win]                                              POSITIVE       
2019 Adam Werner 40 saves on 40 shots replaces inj          [avalanche, victory]                                        NEUTRAL        
Kawooya Michael Raymond at the Birmingham 2022 Com          [squash]                                                    NEGATIVE       
LeafsForever Flames MultiPoint Player Props Over 1          []                                                          NEUTRAL        
RT gripitandrippit NHL hockey theres nothing like           [like]                                                      POSITIVE       
TheInstigator76 Its better than Center Ice ever wa          [better, great, frustration]                                POSITIVE       
RT barstoolsports Pond hockey heaven spittinchicle          [heaven]                                                    POSITIVE       
RT LightningMade Were proud to be a part of NHL As          [support, proud]                                            POSITIVE       
StapeAthletic I want them to call the rules Im not          [heck, ridiculous]                                          NEGATIVE       
a lot of Hockey around the Flyers organization ton          [trick]                                                     NEGATIVE       
RT DrJaneALee Congrats to our Girls Field Hockey t          [fabulous]                                                  POSITIVE       
RT gilliankemmerer Hockey Family LGRW legend Vladd          [support]                                                   POSITIVE       
RT queuebae im now convinced that the real reason           []                                                          NEUTRAL        
DeputyHockey officerdaddo                                   []                                                          NEUTRAL        
RT GeneseoKnights MHKY No 1 GeneseoHockey vs Platt          []                                                          NEUTRAL        
RT HackswithHaggs Emotional night at the Garden la          [cave]                                                      NEGATIVE       
just in time for 2 beer night at the hockey game t          []                                                          NEUTRAL        
RT rmc28 zeynep Timely example from the UK my hock          [timely, negative, positive]                                POSITIVE       
RT lewisdaveTHF The WCHA Development Team is looki          []                                                          NEUTRAL        
canucker101 Canucks Lots of hockey left                     []                                                          NEUTRAL        
StatBoySteven I could see how thats a little suspi          [cancer, uncomfortable, suspicious]                         NEGATIVE       
The WCHA Development Team is looking forward to pa          []                                                          NEUTRAL        
RT BrownWHockey GAMEDAY Dartmouth 6pm Meehan Audit          []                                                          NEUTRAL        
Oley Valley Twin Valley Fleetwood and Wilson play           []                                                          NEUTRAL        
KariyaNorth almenjohn domluszczyszyn Jack Edwards           [biased, embarrassing]                                      NEGATIVE       
RT barstoolsports Pond hockey heaven spittinchicle          [heaven]                                                    POSITIVE       
torontobaghead hockeynight Are you saying real hoc          [racists, fans, ignorant]                                   NEGATIVE       
RT barstoolsports Pond hockey heaven spittinchicle          [heaven]                                                    POSITIVE       
Hockey urucureoficial recibir este sbado a San Mar          []                                                          NEUTRAL        
RT MichaelEMann Sorry climate deniers Fact CheckHo          [accurate, sorry]                                           NEUTRAL        
RT IceOffs 60 seconds of Hockey hits just because           [great]                                                     POSITIVE       
RT barstoolsports Pond hockey heaven spittinchicle          [heaven]                                                    POSITIVE       
islesfan777 I fight enough with people over hockey          [enough]                                                    POSITIVE       
Im enjoying Foundation the same way I enjoy watchi          [enjoy, enjoying, good]                                     POSITIVE       
StapeAthletic Personally I want them to call the r          [loose, capable, fast, exciting]                            POSITIVE       
Michigan field hockey scores twice in final 61 sec          []                                                          NEUTRAL        
Jack Eichel undergoes successful surgery                    [successful]                                                POSITIVE       
Listen we all have our fandom But I will put on a           [worst]                                                     NEGATIVE       
RT HabsLaughs Good morning to Tyler Toffoli who wi          [good]                                                      POSITIVE       
RT TSNHockey Watch as the 2020 Hockey Hall of Fame          [fame]                                                      POSITIVE       
RT PeoriaMustangs Back in Wiscansin Hi TPAIN pwrpl          []                                                          NEUTRAL        
RT JulieSLalonde A lot of conversation lately abou          []                                                          NEUTRAL        
RT ruthparticipa Esta tarde he visitado la Sportec          []                                                          NEUTRAL        
RT barstoolsports Pond hockey heaven spittinchicle          [heaven]                                                    POSITIVE       
RT ESPNPlus A generational talent A generational g          [talent]                                                    POSITIVE       
CanArm2011 And NEVER admit they can spread it just          [super]                                                     POSITIVE       
RT LakersIceHockey Congrats to Laker great Kevin S          [fame, great]                                               POSITIVE       
RT bobano Here is the podcast version of The Ice G          []                                                          NEUTRAL        
RT barstoolsports Pond hockey heaven spittinchicle          [heaven]                                                    POSITIVE       
troychewning druthjr91 emoney3113 SamanthaJPell Th          [hate]                                                      NEGATIVE       
RT Bckt106Art My rock My love Yes she watches Hock          [love, win, fun]                                            POSITIVE       
RT gripitandrippit NHL hockey theres nothing like           [like]                                                      POSITIVE       
RT ESPNPlus A generational talent A generational g          [talent]                                                    POSITIVE       
RT anarvirji The podcast I cohost with my bestie M          []                                                          NEUTRAL        
RT UNDmhockey Aiming for a 30 start in league play          []                                                          NEUTRAL        
Red Wings de Detroit Russir pas juste survivre              []                                                          NEUTRAL        
frankseravalli JohnTortorella2 Torts knows hockey           [win]                                                       POSITIVE       
bro woke up to a nice bowl of beans and a hockey p          [nice]                                                      POSITIVE       
RT EnglishMathPhD There are no fans of hockey the           [hell, fans]                                                NEUTRAL        
4WhomJBellTolls March Free agency spring training           [free, madness]                                             NEUTRAL        
RT barstoolsports Pond hockey heaven spittinchicle          [heaven]                                                    POSITIVE       
RT joewarmington Would you like to see Don Cherry           [like]                                                      POSITIVE       
ragingsilkworm Game management is a critical part           [critical]                                                  NEGATIVE       
Archaeologuy 97 can flex a bit more Speak openly a          [openly, like, win, awards, frustration, fuck]              POSITIVE       
Match 1 de la U SPORTS Field Hockey Championship c          []                                                          NEUTRAL        
I just want my flowers and the homageyall niggas d          []                                                          NEUTRAL        
Merrymodzio TomBilyeu JossMonzoni herrerabox lisab          []                                                          NEUTRAL        
RT EliteFantasyHQ The Core 4 Livestream with Kyle           [break]                                                     NEGATIVE       
There are no fans of hockey the sport Arthur what           [hell, fans]                                                NEUTRAL        
IIHFHockey Cute things can be found anywhere even           [cute]                                                      POSITIVE       
The Core 4 Livestream with Kyle Elfrink is now liv          [break]                                                     NEGATIVE       
Canuckgirl20 Lol thats hockey hurt to a whole new           [hurt]                                                      NEGATIVE       
DiegoPRBarros oilers49er Except Kassian Hes the on          [best]                                                      POSITIVE       
Good luck to our Senior Girls Field Hockey Team in          [good, luck]                                                POSITIVE       
RT ESPNPlus A generational talent A generational g          [talent]                                                    POSITIVE       
RT HackswithHaggs Emotional night at the Garden la          [cave]                                                      NEGATIVE       
Ill just get a job at the University of Michigan b          []                                                          NEUTRAL        
le met mucho hockey esta semana en cualquier momen          []                                                          NEUTRAL        
RT aiaahelnagar Hockey A skate                              []                                                          NEUTRAL        
torontobaghead hockeynight I do find this hilariou          [rant, hilarious, fans, ignorant]                           NEUTRAL        
troychewning emoney3113 I understand plenty to kno          [better, immature, like, unreliable]                        NEUTRAL        
RT coutufrancis hyaruxw BarrieSharks RonMacLeanHTH          [well]                                                      POSITIVE       
Hockey game on your day off is more important than          [important]                                                 POSITIVE       
RT TheNamibian Saints beat DTS 50 in a Bank Windho          [premier]                                                   POSITIVE       
RT dunvsports D2 Hockey Gameday DU riding a 3game           [win]                                                       POSITIVE       
RT joewarmington Would you like to see Don Cherry           [like]                                                      POSITIVE       
JC2594 My friend whos a big soccer guy at his firs          [like, work, baffled]                                       POSITIVE       
RT andreasthuresso Tror att det r lge fr SSK att k          []                                                          NEUTRAL        
Kirsty7169 Good plan its hockey Sunday too isnt it          [better, good]                                              POSITIVE       
There is nothing wrong with gambling if you can ac          [fun, interesting, wrong]                                   POSITIVE       
RT ValleyBoosters Field Hockey All Region 1st Team          []                                                          NEUTRAL        
PaulFigler Its in his best interest fir the draft           [like, best]                                                POSITIVE       
At the growlers game with sandramarygosse The last          [missed]                                                    NEGATIVE       
CatyLouis Richardlabbe Peuttre Tout ce que je sais          [tout]                                                      NEGATIVE       
StapeAthletic You are whats wrong with hockey Let           [wrong]                                                     NEGATIVE       
RT cookieeem0nster Im missing the gay hockey game           []                                                          NEUTRAL        
TheInstigator76 Its a little weird that people kee          [great, weird, complaining]                                 NEGATIVE       
RT TrineAthletics Mens Hockey home opener is tonig          []                                                          NEUTRAL        
Game 1 of the U SPORTS Field Hockey Championship b          []                                                          NEUTRAL        
Leedsknights GoPhantoms That was awesome for my fi          [awesome, win]                                              POSITIVE       
2019 Adam Werner 40 saves on 40 shots replaces inj          [avalanche, victory]                                        NEUTRAL        
Kawooya Michael Raymond at the Birmingham 2022 Com          [squash]                                                    NEGATIVE       
LeafsForever Flames MultiPoint Player Props Over 1          []                                                          NEUTRAL        
RT gripitandrippit NHL hockey theres nothing like           [like]                                                      POSITIVE       
TheInstigator76 Its better than Center Ice ever wa          [better, great, frustration]                                POSITIVE       
RT barstoolsports Pond hockey heaven spittinchicle          [heaven]                                                    POSITIVE       
RT LightningMade Were proud to be a part of NHL As          [support, proud]                                            POSITIVE       
StapeAthletic I want them to call the rules Im not          [heck, ridiculous]                                          NEGATIVE       
a lot of Hockey around the Flyers organization ton          [trick]                                                     NEGATIVE       
RT DrJaneALee Congrats to our Girls Field Hockey t          [fabulous]                                                  POSITIVE       
RT gilliankemmerer Hockey Family LGRW legend Vladd          [support]                                                   POSITIVE       
RT queuebae im now convinced that the real reason           []                                                          NEUTRAL        
DeputyHockey officerdaddo                                   []                                                          NEUTRAL        
RT GeneseoKnights MHKY No 1 GeneseoHockey vs Platt          []                                                          NEUTRAL        
RT HackswithHaggs Emotional night at the Garden la          [cave]                                                      NEGATIVE       
just in time for 2 beer night at the hockey game t          []                                                          NEUTRAL        
RT rmc28 zeynep Timely example from the UK my hock          [timely, negative, positive]                                POSITIVE       
RT lewisdaveTHF The WCHA Development Team is looki          []                                                          NEUTRAL        
canucker101 Canucks Lots of hockey left                     []                                                          NEUTRAL        
