id,house_owner,mortgage,value,car_probability
8662,RENTER,LOW,0,7
8663,RENTER,LOW,0,5
8664,OWNER,LOW,148240,3
8665,OWNER,LOW,644953,2
8666,OWNER,LOW,97282,7
8667,RENTER,LOW,0,7
8668,OWNER,LOW,482597,1
8669,OWNER,LOW,52647,4
8670,RENTER,LOW,166880,4
8671,RENTER,LOW,79921,6
8672,RENTER,LOW,0,7
8673,RENTER,LOW,0,4
8674,RENTER,LOW,0,8
8675,RENTER,LOW,0,9
8676,RENTER,LOW,0,4
8677,RENTER,LOW,95529,5
8678,OWNER,LOW,82458,5
8679,RENTER,LOW,328098,8
8680,RENTER,LOW,0,6
8681,RENTER,LOW,48526,8
8682,RENTER,LOW,584992,6
8683,OWNER,LOW,156763,2
8684,OWNER,LOW,196418,8
8685,RENTER,LOW,0,9
8686,RENTER,LOW,59266,9
8687,RENTER,LOW,221270,1
8688,RENTER,LOW,107484,3
8689,RENTER,LOW,0,9
8690,RENTER,LOW,0,5
8691,,LOW,0,7
8692,RENTER,LOW,46662,8
8693,,LOW,0,6
8694,RENTER,LOW,0,9
8695,RENTER,LOW,0,9
8696,RENTER,LOW,0,5
8697,RENTER,LOW,0,9
8698,RENTER,LOW,0,9
8699,RENTER,LOW,25906,9
8700,OWNER,LOW,98012,6
8701,RENTER,LOW,83014,9
8702,RENTER,LOW,0,4
8703,RENTER,LOW,0,7
8704,RENTER,LOW,161145,4
8705,RENTER,LOW,0,9
8706,RENTER,LOW,0,5
8707,RENTER,LOW,0,7
8708,RENTER,LOW,380800,9
8709,RENTER,LOW,219526,4
8710,RENTER,LOW,238383,3
8711,RENTER,LOW,0,9
8712,RENTER,LOW,0,7
8713,RENTER,LOW,0,8
8714,OWNER,LOW,141612,3
8715,RENTER,LOW,0,9
8716,OWNER,LOW,43818,5
8717,RENTER,LOW,0,9
8718,RENTER,LOW,244160,5
8719,RENTER,LOW,241031,1
8720,RENTER,LOW,0,9
8721,RENTER,LOW,96320,1
8722,RENTER,LOW,0,7
8723,OWNER,LOW,112815,8
8724,,LOW,0,6
8725,OWNER,LOW,104640,8
8726,RENTER,LOW,0,7
8727,RENTER,LOW,538460,8
8728,RENTER,LOW,0,5
8729,RENTER,LOW,0,9
8730,RENTER,LOW,75798,3
8731,RENTER,LOW,186662,5
8732,RENTER,LOW,650566,1
8733,RENTER,LOW,268336,5
8734,RENTER,LOW,93849,2
8735,,LOW,0,9
8736,RENTER,LOW,0,9
8737,OWNER,LOW,24982,7
8738,RENTER,LOW,0,9
8739,RENTER,LOW,0,7
8740,RENTER,LOW,0,8
8741,RENTER,LOW,137016,8
8742,RENTER,LOW,318826,2
8743,RENTER,LOW,113322,2
8744,RENTER,LOW,0,7
8745,OWNER,LOW,71108,7
8746,RENTER,LOW,0,4
8747,RENTER,LOW,132289,8
8748,OWNER,LOW,39207,5
8749,RENTER,LOW,0,5
8750,RENTER,LOW,0,5
8751,RENTER,LOW,101757,3
8752,RENTER,LOW,0,3
8753,RENTER,LOW,0,5
8754,RENTER,LOW,0,9
8755,,LOW,0,2
8756,RENTER,LOW,273808,9
8757,RENTER,LOW,88824,9
8758,RENTER,LOW,118352,8
8759,RENTER,LOW,0,9
8760,RENTER,LOW,0,8
8761,RENTER,LOW,291226,8
8762,,LOW,0,3
8763,RENTER,LOW,0,5
8764,RENTER,LOW,0,8
8765,RENTER,LOW,0,5
8766,OWNER,LOW,89172,5
8767,OWNER,LOW,78970,8
8768,RENTER,LOW,136032,3
8769,RENTER,LOW,0,7
8770,OWNER,LOW,65225,5
8771,RENTER,LOW,257567,2
8772,RENTER,LOW,0,9
8773,RENTER,LOW,59950,9
8774,,LOW,0,5
8775,RENTER,LOW,225179,9
8776,RENTER,LOW,72485,9
8777,OWNER,LOW,26399,1
8778,RENTER,LOW,0,9
8779,OWNER,LOW,144970,9
8780,OWNER,LOW,108564,7
8781,,LOW,0,4
8782,OWNER,LOW,0,3
8783,RENTER,LOW,0,6
8784,RENTER,LOW,0,3
8785,RENTER,LOW,0,7
8786,RENTER,LOW,0,8
8787,RENTER,LOW,11514,8
8788,RENTER,LOW,0,9
8789,RENTER,LOW,0,9
8790,OWNER,LOW,127039,5
8791,RENTER,LOW,113796,8
8792,RENTER,LOW,205615,5
8793,RENTER,LOW,119840,8
8794,RENTER,LOW,0,9
8795,RENTER,LOW,38996,8
8796,RENTER,LOW,106711,5
8797,RENTER,LOW,0,2
8798,RENTER,LOW,0,9
8799,RENTER,LOW,0,8
8800,RENTER,LOW,141780,4
8801,RENTER,LOW,105948,5
8802,RENTER,LOW,0,5
8803,OWNER,Med,189807,8
8804,RENTER,LOW,726594,1
8805,OWNER,LOW,411810,1
8806,RENTER,LOW,0,7
8807,OWNER,LOW,119038,4
8808,,LOW,0,9
8809,,LOW,0,7
8810,RENTER,LOW,0,8
8811,OWNER,LOW,185300,1
8812,RENTER,LOW,301657,3
8813,RENTER,LOW,0,8
8814,RENTER,LOW,0,4
8815,RENTER,LOW,0,8
8816,RENTER,LOW,0,7
8817,OWNER,Med,190859,2
8818,RENTER,LOW,0,8
8819,RENTER,LOW,0,9
8820,,LOW,0,3
8821,RENTER,LOW,0,6
8822,RENTER,LOW,0,3
8823,,LOW,0,6
8824,OWNER,LOW,119880,4
8825,RENTER,LOW,27337,8
8826,OWNER,LOW,0,7
8827,OWNER,LOW,85739,5
8828,OWNER,LOW,171360,8
8829,OWNER,LOW,135321,2
8830,OWNER,LOW,103005,8
8831,OWNER,LOW,45824,2
8832,OWNER,Med,270456,8
8833,OWNER,LOW,570244,2
8834,OWNER,LOW,102285,4
8835,OWNER,LOW,700434,3
8836,OWNER,LOW,0,8
8837,,LOW,81532,1
8838,OWNER,LOW,0,4
8839,OWNER,LOW,55606,8
8840,OWNER,LOW,204240,2
8841,OWNER,LOW,143008,6
8842,OWNER,LOW,193584,3
8843,OWNER,LOW,186888,4
8844,OWNER,LOW,0,6
8845,OWNER,LOW,0,2
8846,OWNER,LOW,176187,2
8847,RENTER,LOW,139410,4
8848,OWNER,LOW,107681,4
8849,OWNER,LOW,76300,4
8850,OWNER,LOW,126963,4
8851,OWNER,LOW,239037,7
8852,RENTER,LOW,63023,5
8853,OWNER,LOW,141264,3
8854,OWNER,Med,215035,8
8855,OWNER,LOW,90644,8
8856,OWNER,LOW,142841,1
8857,OWNER,LOW,140228,5
8858,OWNER,LOW,186321,8
8859,RENTER,LOW,43670,8
8860,OWNER,LOW,292120,4
8861,,LOW,0,3
8862,OWNER,LOW,324787,6
8863,OWNER,LOW,172220,4
8864,OWNER,LOW,209733,1
8865,OWNER,LOW,42193,8
8866,OWNER,LOW,95222,8
8867,OWNER,LOW,84360,8
8868,OWNER,High,268543,4
8869,OWNER,LOW,71209,5
8870,OWNER,LOW,74370,8
8871,OWNER,LOW,64380,3
8872,OWNER,LOW,0,8
8873,OWNER,LOW,94721,8
8874,OWNER,Med,183120,4
8875,OWNER,LOW,0,9
8876,OWNER,LOW,102455,1
8877,OWNER,LOW,238088,4
8878,OWNER,LOW,204904,2
8879,OWNER,LOW,101675,2
8880,OWNER,LOW,0,1
8881,OWNER,LOW,125829,2
8882,OWNER,Med,248193,3
8883,OWNER,LOW,0,1
8884,OWNER,LOW,82829,8
8885,OWNER,LOW,215689,2
8886,OWNER,LOW,26683,6
8887,OWNER,LOW,24009,5
8888,OWNER,LOW,119910,3
8889,OWNER,LOW,101064,5
8890,OWNER,LOW,113360,2
8891,OWNER,LOW,164197,2
8892,OWNER,LOW,152316,3
8893,OWNER,LOW,57192,6
8894,RENTER,LOW,36107,2
8895,OWNER,LOW,125127,3
8896,OWNER,LOW,72648,2
8897,OWNER,LOW,58814,8
8898,OWNER,LOW,80420,3
8899,OWNER,LOW,237205,1
8900,,LOW,133961,1
8901,OWNER,LOW,558581,1
8902,OWNER,LOW,58598,7
8903,RENTER,LOW,170040,6
8904,OWNER,LOW,188025,6
8905,RENTER,LOW,76356,2
8906,OWNER,LOW,95680,8
8907,OWNER,LOW,189932,1
8908,OWNER,LOW,336483,2
8909,OWNER,LOW,84475,8
8910,RENTER,LOW,73248,9
8911,RENTER,LOW,84234,3
8912,RENTER,LOW,104535,7
8913,OWNER,LOW,0,4
8914,OWNER,LOW,177452,5
8915,OWNER,LOW,208462,3
8916,OWNER,LOW,83385,8
8917,OWNER,LOW,0,6
8918,RENTER,LOW,90900,8
8919,RENTER,LOW,7542,8
8920,OWNER,LOW,112110,4
8921,OWNER,LOW,142931,4
8922,OWNER,LOW,151074,4
8923,OWNER,LOW,52156,2
8924,OWNER,LOW,117600,6
8925,OWNER,LOW,236224,3
8926,OWNER,LOW,59546,3
8927,OWNER,Med,176825,5
8928,OWNER,LOW,127650,3
8929,OWNER,LOW,297962,8
8930,OWNER,LOW,39018,3
8931,RENTER,LOW,0,6
8932,OWNER,LOW,10642,9
8933,OWNER,Med,234350,3
8934,OWNER,LOW,199034,4
8935,OWNER,LOW,166562,2
8936,,LOW,233935,1
8937,RENTER,LOW,0,6
8938,OWNER,LOW,76038,5
8939,RENTER,LOW,155308,4
8940,OWNER,LOW,134375,2
8941,OWNER,LOW,0,5
8942,OWNER,LOW,60205,5
8943,,LOW,114995,4
8944,OWNER,LOW,0,3
8945,OWNER,LOW,123606,8
8946,,LOW,0,9
8947,OWNER,LOW,0,7
8948,OWNER,LOW,177168,3
8949,OWNER,LOW,76914,5
8950,OWNER,LOW,0,9
8951,OWNER,LOW,186347,1
8952,OWNER,LOW,185670,5
8953,OWNER,LOW,123746,2
8954,OWNER,LOW,0,9
8955,,LOW,0,9
8956,OWNER,LOW,112110,8
8957,OWNER,LOW,0,8
8958,OWNER,LOW,118243,3
8959,OWNER,LOW,101827,7
8960,RENTER,LOW,157092,2
8961,OWNER,LOW,0,4
8962,OWNER,LOW,0,7
8963,OWNER,LOW,0,6
8964,OWNER,LOW,91723,3
8965,OWNER,LOW,113229,7
8966,OWNER,LOW,124216,3
8967,OWNER,LOW,41884,8
8968,OWNER,LOW,199337,7
8969,OWNER,LOW,0,1
8970,,LOW,114007,1
8971,OWNER,LOW,237287,2
8972,OWNER,Med,198162,2
8973,OWNER,LOW,0,2
8974,OWNER,LOW,0,8
8975,OWNER,LOW,220289,5
8976,OWNER,LOW,81750,4
8977,RENTER,LOW,227037,1
8978,OWNER,LOW,58587,7
8979,,LOW,0,1
8980,OWNER,LOW,258976,3
8981,,LOW,133416,1
8982,OWNER,LOW,57573,3
8983,OWNER,LOW,130113,8
8984,OWNER,LOW,21582,4
8985,,LOW,240800,4
8986,OWNER,LOW,39676,6
8987,OWNER,LOW,0,3
8988,OWNER,LOW,182640,6
8989,,LOW,0,2
8990,,LOW,10172,8
8991,OWNER,LOW,68964,8
8992,OWNER,LOW,0,1
8993,RENTER,LOW,0,7
8994,OWNER,LOW,120019,2
8995,OWNER,LOW,69760,8
8996,OWNER,LOW,28688,4
8997,OWNER,LOW,0,5
8998,OWNER,LOW,250332,1
8999,RENTER,LOW,184426,7
9000,OWNER,LOW,118701,8
9001,,LOW,0,6
9002,OWNER,LOW,48879,9
9003,OWNER,LOW,62337,8
9004,OWNER,Med,293564,5
9005,OWNER,LOW,162060,1
9006,,LOW,5000,6
9007,OWNER,LOW,0,5
9008,OWNER,LOW,49529,6
9009,OWNER,LOW,0,2
9010,OWNER,LOW,92650,1
9011,OWNER,LOW,103550,7
9012,OWNER,LOW,187839,5
9013,RENTER,LOW,0,8
9014,OWNER,LOW,59208,4
9015,OWNER,LOW,161831,8
9016,OWNER,LOW,0,8
9017,OWNER,LOW,419182,1
9018,OWNER,LOW,0,8
9019,OWNER,LOW,52254,4
9020,OWNER,LOW,29375,8
9021,OWNER,LOW,66381,4
9022,OWNER,LOW,198789,2
9023,OWNER,LOW,89881,7
9024,OWNER,LOW,62218,3
9025,OWNER,LOW,120532,1
9026,OWNER,LOW,125350,8
9027,,LOW,85120,5
9028,RENTER,LOW,0,8
9029,OWNER,LOW,130800,6
9030,OWNER,LOW,133200,5
9031,OWNER,LOW,0,8
9032,OWNER,LOW,0,5
9033,OWNER,LOW,230443,8
9034,OWNER,LOW,73956,3
9035,,LOW,127987,2
9036,OWNER,LOW,153690,8
9037,OWNER,LOW,106275,5
9038,OWNER,LOW,112084,6
9039,OWNER,LOW,0,4
9040,OWNER,LOW,0,9
9041,OWNER,LOW,0,6
9042,OWNER,LOW,0,7
9043,,LOW,123200,8
9044,OWNER,LOW,97680,8
9045,OWNER,LOW,0,3
9046,OWNER,LOW,0,3
9047,OWNER,LOW,94742,6
9048,OWNER,LOW,113277,8
9049,OWNER,LOW,146450,3
9050,OWNER,LOW,92214,2
9051,OWNER,LOW,210424,1
9052,OWNER,LOW,0,5
9053,,LOW,49268,6
9054,OWNER,LOW,133764,5
9055,,LOW,0,3
9056,OWNER,LOW,0,3
9057,OWNER,LOW,212048,4
9058,OWNER,LOW,0,7
9059,OWNER,LOW,61803,8
9060,OWNER,LOW,117829,3
9061,OWNER,LOW,114450,2
9062,,LOW,0,0
9063,,LOW,0,0
9064,,LOW,0,0
9065,,LOW,0,0
9066,,LOW,0,0
9067,,LOW,0,0
9068,,LOW,0,0
9069,,LOW,0,0
9070,OWNER,Med,220049,2
9071,,LOW,0,5
9072,,LOW,0,8
9073,,LOW,144302,2
9074,,LOW,0,4
9075,,LOW,0,5
9076,RENTER,LOW,299364,8
9077,RENTER,LOW,763327,9
9078,,LOW,0,3
9079,,LOW,358937,7
9080,,LOW,0,4
9081,OWNER,LOW,196219,2
9082,OWNER,LOW,0,3
9083,OWNER,LOW,209149,2
9084,,LOW,0,3
9085,RENTER,LOW,240070,3
9086,,LOW,0,1
9087,,LOW,348320,2
9088,,LOW,0,1
9089,RENTER,LOW,0,4
9090,RENTER,LOW,0,6
9091,RENTER,LOW,0,9
9092,RENTER,LOW,0,5
9093,RENTER,LOW,0,5
9094,OWNER,LOW,187567,1
9095,RENTER,LOW,0,6
9096,,LOW,236126,7
9097,OWNER,Med,391440,1
9098,OWNER,High,446355,4
9099,RENTER,LOW,0,3
9100,OWNER,High,250700,1
9101,RENTER,LOW,441232,2
9102,OWNER,High,219744,1
9103,RENTER,LOW,0,7
9104,OWNER,LOW,195600,1
9105,OWNER,High,270638,4
9106,,LOW,238383,8
9107,RENTER,LOW,743680,1
9108,OWNER,High,443739,1
9109,,LOW,0,3
9110,RENTER,LOW,334194,1
9111,RENTER,LOW,0,6
9112,RENTER,LOW,991900,2
9113,RENTER,LOW,477285,2
9114,OWNER,High,511155,1
9115,RENTER,LOW,0,3
9116,OWNER,LOW,324800,5
9117,,LOW,474150,7
9118,OWNER,Med,319413,1
9119,OWNER,Med,258144,1
9120,,LOW,0,3
9121,OWNER,High,425100,2
9122,,LOW,0,7
9123,RENTER,LOW,314150,4
9124,OWNER,Med,218436,2
9125,RENTER,LOW,0,6
9126,RENTER,LOW,239800,6
9127,RENTER,LOW,493087,1
9128,OWNER,High,692466,1
9129,OWNER,Med,250700,7
9130,RENTER,LOW,0,3
9131,,LOW,0,3
9132,,LOW,611653,2
9133,OWNER,LOW,51502,6
9134,RENTER,LOW,0,9
9135,OWNER,High,420531,2
9136,RENTER,LOW,350331,1
9137,OWNER,LOW,140675,3
9138,RENTER,LOW,377058,3
9139,RENTER,LOW,142735,1
9140,OWNER,LOW,257154,3
9141,OWNER,LOW,188155,1
9142,,LOW,0,7
9143,,LOW,0,5
9144,,LOW,617376,1
9145,,LOW,726921,1
9146,,LOW,0,4
9147,RENTER,LOW,312109,4
9148,OWNER,LOW,0,3
9149,OWNER,LOW,0,3
9150,OWNER,High,701415,1
9151,OWNER,Med,193540,4
9152,,LOW,459544,5
9153,RENTER,LOW,0,2
9154,OWNER,LOW,280784,2
9155,,LOW,0,3
9156,OWNER,LOW,89380,1
9157,,LOW,0,5
9158,,LOW,609691,2
9159,OWNER,Med,145838,1
9160,,LOW,0,7
9161,,LOW,0,1
9162,RENTER,LOW,0,1
9163,,LOW,0,1
9164,RENTER,LOW,0,3
9165,OWNER,LOW,94121,5
9166,,LOW,552085,2
9167,,LOW,1000000,1
9168,OWNER,High,335720,1
9169,OWNER,LOW,134255,9
9170,RENTER,LOW,0,7
9171,RENTER,LOW,0,4
9172,,LOW,0,4
9173,RENTER,LOW,0,1
9174,OWNER,LOW,229052,2
9175,OWNER,Med,177495,1
9176,RENTER,LOW,227657,2
9177,RENTER,LOW,179446,2
9178,,LOW,0,7
9179,OWNER,LOW,142899,1
9180,RENTER,LOW,98100,3
9181,RENTER,LOW,0,6
9182,,LOW,1482814,1
9183,,LOW,515722,3
9184,OWNER,LOW,407115,1
9185,OWNER,Med,235440,2
9186,OWNER,LOW,592785,1
9187,OWNER,High,346093,1
9188,OWNER,LOW,238971,2
9189,,LOW,257076,5
9190,OWNER,Med,155652,2
9191,OWNER,High,295608,2
9192,RENTER,LOW,0,1
9193,OWNER,High,516496,2
9194,,LOW,0,8
9195,RENTER,LOW,0,5
9196,RENTER,LOW,0,1
9197,RENTER,LOW,235985,1
9198,OWNER,Med,352429,3
9199,RENTER,LOW,306636,2
9200,RENTER,LOW,0,9
9201,,LOW,0,4
9202,,LOW,323046,1
9203,,LOW,0,3
9204,OWNER,Med,335872,1
9205,OWNER,Med,284490,1
9206,,LOW,0,7
9207,OWNER,Med,213640,3
9208,OWNER,LOW,183109,2
9209,,LOW,367666,6
9210,OWNER,High,207176,2
9211,OWNER,LOW,0,3
9212,OWNER,Med,173538,2
9213,RENTER,LOW,0,7
9214,,LOW,825239,2
9215,,LOW,528704,4
9216,RENTER,LOW,0,3
9217,RENTER,LOW,0,4
9218,,LOW,0,1
9219,RENTER,LOW,0,3
9220,OWNER,LOW,88944,2
9221,RENTER,LOW,0,7
9222,RENTER,LOW,171675,2
9223,RENTER,LOW,0,2
9224,RENTER,LOW,332640,6
9225,RENTER,LOW,305810,3
9226,RENTER,LOW,287506,1
9227,,LOW,587510,1
9228,RENTER,LOW,0,5
9229,OWNER,LOW,143880,2
9230,RENTER,LOW,393900,7
9231,OWNER,LOW,528650,1
9232,OWNER,Med,219050,2
9233,RENTER,LOW,0,6
9234,RENTER,LOW,596001,3
9235,,LOW,0,1
9236,,LOW,201235,2
9237,RENTER,LOW,0,2
9238,,LOW,0,4
9239,,LOW,0,3
9240,,LOW,0,6
9241,RENTER,LOW,197272,2
9242,RENTER,LOW,0,3
9243,,LOW,0,2
9244,RENTER,LOW,1042623,2
9245,RENTER,LOW,0,3
9246,OWNER,Med,227919,1
9247,,LOW,0,5
9248,OWNER,LOW,0,7
9249,OWNER,LOW,517750,8
9250,RENTER,LOW,322912,1
9251,RENTER,LOW,0,3
9252,OWNER,LOW,557295,4
9253,OWNER,LOW,73378,3
9254,,LOW,377957,1
9255,OWNER,LOW,285751,2
9256,OWNER,High,305200,2
9257,RENTER,LOW,0,1
9258,OWNER,High,307380,1
9259,OWNER,High,330847,5
9260,RENTER,LOW,351237,7
9261,,LOW,0,7
9262,OWNER,High,287433,5
9263,RENTER,LOW,0,4
9264,OWNER,LOW,1019749,1
9265,RENTER,LOW,0,8
9266,,LOW,169691,3
9267,,LOW,0,3
9268,RENTER,LOW,0,7
9269,,LOW,113486,1
9270,OWNER,High,443412,1
9271,OWNER,LOW,0,6
9272,OWNER,LOW,147934,2
9273,,LOW,0,7
9274,OWNER,LOW,109912,3
9275,RENTER,LOW,0,3
9276,RENTER,LOW,480472,5
9277,OWNER,Med,187153,2
9278,OWNER,LOW,0,8
9279,RENTER,LOW,0,1
9280,,LOW,359307,1
9281,OWNER,LOW,288904,4
9282,RENTER,LOW,404662,2
9283,OWNER,High,370600,1
9284,OWNER,LOW,619828,1
9285,RENTER,LOW,0,3
9286,RENTER,LOW,397893,2
9287,RENTER,LOW,442812,1
9288,OWNER,Med,120346,2
9289,OWNER,LOW,116575,2
9290,RENTER,LOW,331523,4
9291,RENTER,LOW,1082097,1
9292,RENTER,LOW,0,7
9293,RENTER,LOW,367286,3
9294,OWNER,LOW,0,1
9295,OWNER,LOW,317255,2
9296,RENTER,LOW,0,3
9297,RENTER,LOW,493775,1
9298,RENTER,LOW,0,4
9299,OWNER,High,307870,2
9300,OWNER,Med,169473,1
9301,OWNER,LOW,0,1
9302,,LOW,545000,2
9303,RENTER,LOW,0,3
9304,RENTER,LOW,252857,5
9305,OWNER,LOW,544945,1
9306,,LOW,141002,8
9307,,LOW,0,9
9308,OWNER,LOW,392890,2
9309,OWNER,LOW,370818,2
9310,,LOW,0,6
9311,,LOW,227330,2
9312,RENTER,LOW,0,1
9313,RENTER,LOW,257185,1
9314,,LOW,900340,7
9315,OWNER,LOW,230142,4
9316,OWNER,Med,181212,2
9317,,LOW,0,1
9318,RENTER,LOW,0,5
9319,RENTER,LOW,0,3
9320,,LOW,0,6
9321,,LOW,753615,3
9322,OWNER,LOW,515308,1
9323,OWNER,High,410058,1
9324,,LOW,0,4
9325,RENTER,LOW,210657,5
9326,RENTER,LOW,515200,6
9327,RENTER,LOW,0,5
9328,RENTER,LOW,0,1
9329,OWNER,Med,203802,1
9330,RENTER,LOW,328384,1
9331,,LOW,0,2
9332,OWNER,Med,1151448,1
9333,OWNER,LOW,206010,1
9334,OWNER,High,555464,2
9335,OWNER,LOW,167097,5
9336,OWNER,LOW,273720,1
9337,OWNER,LOW,496386,1
9338,OWNER,High,1064548,1
9339,OWNER,LOW,1096758,1
9340,OWNER,LOW,142790,8
9341,OWNER,LOW,0,6
9342,,LOW,0,6
9343,OWNER,High,562440,1
9344,OWNER,High,577972,2
9345,OWNER,High,384879,2
9346,OWNER,LOW,189333,2
9347,OWNER,High,812273,2
9348,OWNER,LOW,281940,1
9349,OWNER,LOW,381249,2
9350,OWNER,LOW,232006,2
9351,OWNER,LOW,0,2
9352,OWNER,LOW,947428,1
9353,OWNER,LOW,296720,1
9354,OWNER,LOW,421830,1
9355,OWNER,LOW,275443,1
9356,OWNER,LOW,239473,2
9357,OWNER,LOW,462923,2
9358,OWNER,LOW,175795,4
9359,RENTER,LOW,1289688,1
9360,OWNER,LOW,335894,1
9361,RENTER,LOW,0,1
9362,OWNER,LOW,1828584,5
9363,RENTER,LOW,0,3
9364,OWNER,Med,478183,1
9365,OWNER,High,480472,4
9366,OWNER,LOW,699780,1
9367,OWNER,LOW,206139,1
9368,OWNER,LOW,1074522,5
9369,OWNER,LOW,1499840,1
9370,OWNER,High,703769,1
9371,OWNER,LOW,383287,2
9372,OWNER,LOW,337758,2
9373,OWNER,High,306856,2
9374,OWNER,Med,174182,7
9375,OWNER,LOW,496822,1
9376,OWNER,High,345748,2
9377,OWNER,Med,257436,3
9378,OWNER,Med,399506,1
9379,OWNER,LOW,296981,6
9380,OWNER,LOW,315882,2
9381,OWNER,Med,274810,3
9382,OWNER,LOW,625213,3
9383,OWNER,LOW,2040774,1
9384,OWNER,LOW,226611,3
9385,OWNER,LOW,203263,2
9386,OWNER,High,1025864,1
9387,OWNER,LOW,244977,2
9388,OWNER,LOW,167587,5
9389,OWNER,High,1359131,1
9390,OWNER,High,545000,1
9391,OWNER,LOW,105758,3
9392,OWNER,LOW,200767,2
9393,RENTER,LOW,702556,7
9394,,LOW,1330560,1
9395,OWNER,Med,212593,2
9396,OWNER,LOW,46826,2
9397,OWNER,LOW,136882,1
9398,OWNER,High,408750,1
9399,OWNER,LOW,260946,4
9400,OWNER,LOW,407136,2
9401,OWNER,LOW,672966,3
9402,OWNER,LOW,490500,5
9403,OWNER,LOW,412477,1
9404,OWNER,Med,683920,1
9405,OWNER,LOW,264608,6
9406,OWNER,High,3851297,1
9407,OWNER,LOW,393544,5
9408,OWNER,LOW,159706,6
9409,OWNER,LOW,381840,1
9410,OWNER,High,591183,1
9411,OWNER,LOW,1499295,1
9412,OWNER,LOW,537152,1
9413,OWNER,High,893800,1
9414,OWNER,Med,291357,4
9415,OWNER,LOW,0,1
9416,OWNER,Med,345486,2
9417,OWNER,LOW,438507,1
9418,OWNER,LOW,106611,2
9419,OWNER,LOW,346783,1
9420,OWNER,High,403583,1
9421,OWNER,LOW,141264,3
9422,OWNER,LOW,507177,2
9423,RENTER,LOW,117425,4
9424,OWNER,High,470062,8
9425,OWNER,LOW,1051850,1
9426,OWNER,LOW,194793,3
9427,OWNER,LOW,511264,1
9428,OWNER,LOW,641813,1
9429,,LOW,0,1
9430,OWNER,LOW,406003,1
9431,OWNER,High,387277,1
9432,OWNER,Med,247212,2
9433,OWNER,LOW,1287072,2
9434,OWNER,High,518840,1
9435,OWNER,LOW,146977,4
9436,OWNER,High,294409,2
9437,OWNER,LOW,2000000,2
9438,OWNER,High,403997,1
9439,OWNER,LOW,267510,1
9440,OWNER,LOW,134636,2
9441,OWNER,LOW,321550,5
9442,OWNER,LOW,202020,1
9443,OWNER,High,638581,1
9444,OWNER,LOW,197835,2
9445,OWNER,LOW,316645,2
9446,OWNER,LOW,2885611,1
9447,OWNER,Med,543910,1
9448,OWNER,High,721703,1
9449,RENTER,LOW,448000,6
9450,OWNER,LOW,616885,2
9451,OWNER,LOW,395768,2
9452,OWNER,LOW,259420,3
9453,OWNER,High,351405,1
9454,OWNER,LOW,0,2
9455,OWNER,LOW,297875,2
9456,OWNER,LOW,295738,2
9457,OWNER,LOW,196570,1
9458,OWNER,LOW,661412,1
9459,OWNER,LOW,261730,8
9460,OWNER,Med,822510,1
9461,OWNER,LOW,320013,2
9462,OWNER,High,384748,2
9463,OWNER,LOW,0,4
9464,OWNER,LOW,137645,3
9465,OWNER,High,289395,2
9466,RENTER,LOW,2000000,1
9467,OWNER,LOW,429154,1
9468,OWNER,LOW,712053,2
9469,OWNER,LOW,0,2
9470,OWNER,LOW,209508,2
9471,OWNER,Med,244503,6
9472,OWNER,LOW,327763,2
9473,OWNER,LOW,373564,1
9474,OWNER,High,1816485,1
9475,OWNER,LOW,501291,2
9476,OWNER,High,977403,1
9477,OWNER,LOW,0,3
9478,OWNER,LOW,139323,2
9479,OWNER,High,401120,1
9480,OWNER,High,512768,1
9481,OWNER,High,535959,1
9482,OWNER,LOW,427931,3
9483,OWNER,LOW,268794,1
9484,OWNER,High,424991,7
9485,OWNER,High,649527,3
9486,OWNER,High,330291,4
9487,OWNER,High,410058,2
9488,RENTER,LOW,669266,2
9489,OWNER,LOW,376911,2
9490,OWNER,LOW,194543,1
9491,OWNER,LOW,197159,2
9492,OWNER,LOW,212070,3
9493,,LOW,0,3
9494,OWNER,LOW,0,5
9495,OWNER,LOW,513390,3
9496,OWNER,LOW,392225,5
9497,OWNER,LOW,537261,1
9498,OWNER,LOW,321375,2
9499,OWNER,LOW,485050,1
9500,OWNER,LOW,198772,1
9501,OWNER,High,292384,1
9502,OWNER,LOW,191840,3
9503,OWNER,High,527124,1
9504,OWNER,Med,461833,1
9505,OWNER,High,2062443,1
9506,OWNER,Med,331152,2
9507,OWNER,LOW,213171,1
9508,OWNER,LOW,169521,3
9509,OWNER,Med,405150,1
9510,OWNER,High,586365,1
9511,,LOW,452306,1
9512,OWNER,Med,303218,5
9513,OWNER,LOW,729166,1
9514,OWNER,High,1120291,3
9515,OWNER,LOW,79722,2
9516,OWNER,LOW,296480,2
9517,OWNER,LOW,0,2
9518,OWNER,LOW,605931,1
9519,OWNER,LOW,271933,2
9520,OWNER,High,581842,1
9521,OWNER,LOW,0,3
9522,RENTER,LOW,0,7
9523,OWNER,High,503122,1
9524,OWNER,LOW,255223,5
9525,OWNER,Med,778042,3
9526,OWNER,LOW,510065,1
9527,OWNER,High,365150,2
9528,OWNER,LOW,555736,3
9529,OWNER,High,7383790,8
9530,,LOW,233348,6
9531,OWNER,Med,238764,2
9532,OWNER,LOW,450279,1
9533,OWNER,LOW,214512,1
9534,OWNER,Med,230153,3
9535,OWNER,High,518325,4
9536,OWNER,High,1081018,1
9537,OWNER,LOW,542493,1
